date_mean,nhm_id,area_sum,et_mean,et_reference_mean,et_reference_all_mean,pr_mean,pr_all_mean,et_fraction_mean,count_mean
2003-03-01,2831974,3060236683.2501287,7.466144466567616,85.48588744085968,81.64957628656823,11.904665099129005,19.802262670643106,2.7549853067530083,3.0
2003-04-01,2740620,2961519370.8872213,14.042473254932863,94.62927940420298,90.81402328605232,40.54107240275165,60.01808513046191,4.412910189111453,4.0
2003-05-01,2831974,3060236683.2501287,74.09117801962391,142.11318027326715,138.70651060219544,26.84862885551306,33.72448951471867,14.247874257243373,6.0
2003-06-01,2740620,2961519370.8872213,129.9815484622018,186.2579700385856,182.73796444087213,2.44026373051851,2.346749684796863,20.94007129895652,4.0
2003-07-01,2831974,3060236683.2501287,145.87195444478343,202.7681677276965,201.0413790931855,9.69794428632537,8.84725095986012,22.254848515903166,6.0
2003-08-01,2831974,3060236683.2501287,121.5773680813689,175.37137524534418,170.9968161540275,32.60158040317688,32.625418941572846,21.399032267555672,8.0
2003-09-01,2740620,2961519370.8872213,75.61327438828091,121.26303216123583,119.40164836008047,10.284536334576732,12.401104824736027,18.572798971993432,4.0
2003-10-01,2831974,3060236683.2501287,53.31283531758314,96.93472452129882,93.34466046415147,1.1941350124543857,2.2594998297691706,16.513839240517285,7.0
2003-11-01,2740620,2961519370.8872213,7.4260298472896,35.57668499905709,34.1122028425183,14.05572332433855,20.018073189974874,6.188277029435055,7.0
2003-12-01,2831974,3060236683.2501287,3.490310366851533,25.374733130831796,25.632394330187562,38.455925127540986,49.27552153673171,4.451111715597152,2.0
2004-01-01,2831974,3093083678.3093605,11.816482621065676,19.951891968360226,21.314881109790143,1.787257645817787,8.977761541095598,16.452957735764738,6.0
2004-02-01,2649266,2893529892.6119823,6.926483113133256,27.74746319251413,29.174254855225012,22.08186965666233,37.64797677650188,7.2821820772967625,3.0
2004-03-01,2831974,3093083678.3093605,16.441734152308324,95.32548618797838,93.11957269399649,3.203029123795962,6.996664300983194,5.591196742042865,7.0
2004-04-01,2740620,2993306785.4606714,30.983029979237223,102.81964384616685,100.0546132761679,25.65390340237839,37.97831579842051,8.85409411497859,8.0
2004-05-01,2831974,3093083678.309361,94.10691569417226,145.32848276294158,142.0459319838867,15.567399546225438,18.291670798389248,20.12018821481701,6.0
2004-06-01,2740620,2993306785.4606714,141.34924132989002,178.00869116036293,174.5879677073076,4.805776992215018,6.979764572528031,23.836810419756336,7.0
2004-07-01,2831974,3093083678.3093605,141.5266493819961,187.9252345978643,186.2578319864981,22.99434605613932,21.498314470428813,23.306582694425128,7.0
2004-08-01,2831974,3093083678.3093605,112.96103781339964,159.20085792332745,156.19368584697366,29.499676593538606,29.806451087694906,22.361831296896973,4.0
2004-09-01,2740620,2993306785.4606714,86.93336452500829,116.44271589322379,114.28934353126103,25.326528471917776,26.398699294746415,21.539731364188093,7.0
2004-10-01,2831974,3093083678.309361,29.19907253158091,66.20100235030172,63.03520491967389,60.2981100837062,69.7505903055624,12.833664478520987,5.0
2004-11-01,2740620,2993306785.4606714,6.814564086382935,31.32378978628933,30.589852337368587,30.29548943827448,34.97874060984127,6.212454222356684,6.0
2004-12-01,2831974,3093083678.309361,3.704726421211397,23.896032042661123,25.313666604301467,13.067720211563598,21.998214782328382,4.7857449188090415,5.0
2005-01-01,2831974,3137341485.871656,2.806874558616344,18.574424816104226,19.432716011572143,43.959128715481285,53.78161388346018,4.841430539986734,5.0
2005-02-01,2557912,2833727793.690528,2.837319595722575,28.724284895340162,29.511318306260225,26.887422603781257,29.680704938673287,2.8469586669178404,4.0
2005-03-01,2831974,3137341485.871656,7.673902376733412,68.63705284216907,66.65932432429457,18.77292772572365,34.6450160082596,3.4300489499427105,7.0
2005-04-01,2740620,3036136921.8112803,18.783477662340406,100.64010700010081,97.17762563547865,51.28413012180048,69.62868956158643,5.561807472751678,7.0
