date_mean,pr_mean
2015-05-01,56.74980227651074
2015-06-01,8.032182442092921
2015-07-01,25.58190844629123
2015-08-01,26.201571074515797
2015-09-01,30.86404691166967
2015-10-01,47.59562611875361
2015-11-01,27.143788473129646
2015-12-01,34.41410352922248
2016-01-01,32.839785986064165
2016-02-01,21.541975871210237
2016-03-01,17.282373282114083
2016-04-01,53.462437945538724
2016-05-01,28.109478289376238
2016-06-01,14.280104628106015
2016-07-01,0.6489132071273165
2016-08-01,3.159786785992012
2016-09-01,34.70769333233313
2016-10-01,16.56750737637282
2016-11-01,21.44059608973758
2016-12-01,26.484933862256625
2017-01-01,29.436117084545113
2017-02-01,18.207954177811935
2017-03-01,28.59064878017103
2017-04-01,37.18995228625943
2017-05-01,14.158912254461868
2017-06-01,8.210167315319506
2017-07-01,8.433952407196061
