annual_et_ensemble_mm,annual_et_ssebop_mm,annual_et_eemetric_mm,annual_et_sims_mm,annual_et_pt_jpl_mm,annual_et_geesebal_mm,annual_et_disalexi_mm,annual_gridmet_precip_mm,annual_gridmet_precip_eff_mm,annual_tmmx_K,annual_tmmn_K,annual_eto_mm,annual_etr_mm,annual_vpd_kPa,annual_vs_mps,annual_rmax,annual_rmin,annual_daymet_precip_mm,annual_daymet_precip_eff_mm,annual_ndvi,eff_factor,soil_depth_mm,ksat_mean_micromps,elevation_m,annual_et_ssebop_m3,annual_et_eemetric_m3,annual_et_pt_jpl_m3,annual_et_sims_m3,annual_et_geesebal_m3,annual_et_disalexi_m3,annual_net_et_ensemble_mm,HSG_1.0,HSG_2.0,HSG_3.0,HSG_4.0,HSG_5.0,HSG_6.0,HSG_7.0,HSG_8.0,HSG_10.0,HSG_12.0,CV,RMSE,MAE
3024.638378017456,2982.213632444516,2933.738528625566,3441.242442736332,3022.8678261988807,2879.7936354212543,2910.4818384548475,698.0000017881393,678.5870911577435,1158.2667236328125,1083.333251953125,5173.599995136261,7158.800011694431,1488.2799965143204,12.554520606994627,346.20001220703125,87.1199951171875,0.0,974.742930558084,3.3140809667994855,3.8887512287641046,6134.621117760804,458.75314282883744,7177.106996850254,1457871.2574918699,1432963.2878506102,1478107.427800105,1681720.6964745556,1407924.0051522763,1422839.6193269466,585.2805207496757,False,False,False,True,False,False,False,False,False,False,10.090906520408057,10.05646274746926,4.280537448773641
1662.7716075755093,1627.8270071787642,1588.2719541507875,1875.9691572665924,1594.332726334837,1628.202993066203,1724.5541492612697,437.60005477099526,425.42943767448656,578.75859343514,542.0431039784419,2530.951705795918,3471.503421230528,735.5220632945084,6.006575154057355,170.6310354002506,44.751065597847685,0.0,510.6347551116634,1.6988280872151773,1.9443756143820523,3117.715762018265,314.27683615691234,3573.1868267867976,813263.864448142,793431.8114692398,796858.2863426898,937601.1328470544,813697.6497843831,861639.4637856625,618.5372164422515,False,True,False,False,False,False,False,False,False,False,9.98553929514717,9.93682791196613,5.290037941307775
833.7495659790924,785.8919090059998,870.520482093009,959.2631567835743,790.2714569910339,823.889961848375,780.434047291129,216.7999987006188,210.77031533577187,289.8499755859375,271.5599975585937,1330.199997484684,1846.599998652935,400.5900012589991,3.1128766536712646,77.25,20.14000129699707,0.0,237.97641412674835,0.8513510622886525,0.9721878071910262,1520.0,105.6854656830064,1815.8549770985933,404175.46653633873,447699.0002663259,406427.8193469286,493338.37068573554,423717.44242264633,401368.5489696612,622.9792506433205,True,False,False,False,False,False,False,False,False,False,12.149052125647025,12.06521556279462,9.445645755597731
766.692510785605,750.2773463535608,754.9544498695387,948.0947420096628,765.206944121522,714.514071662921,721.1896768193442,214.48963068255827,208.5242037184881,289.36251312218803,271.342079010873,1263.6885803662224,1732.4967717314214,370.0715101594879,2.9917197001150035,83.12614816299391,22.2496992207044,0.0,250.45372252359903,0.8472776902806289,0.9721878071910262,1521.7953168196927,40.28211634598211,1811.20486950592,393686.75873344584,396140.9361551889,401520.6417408811,497485.8267653402,374920.9946289049,378423.8291065676,558.1683070671169,False,False,True,False,False,False,False,False,False,False,14.365507706827236,15.797938199331377,11.984067504241299
1386.9805442323216,1377.8626603403602,1375.8820937940468,1450.1488818204534,1395.2502522733957,1376.3989659268063,1377.1679992762129,349.19999861717224,339.48798092673803,579.2000122070312,541.6856689453125,2614.799998432398,3621.2000120282178,748.89999865368,6.402191638946533,170.73333740234375,44.26666641235352,0.0,484.91697230625607,1.204822292992009,1.9443756143820523,3040.0,224.41788756970698,3590.906103894183,655425.9686548221,653538.748752781,663548.788981425,687943.7058599344,655335.1439057246,655535.9497672014,521.1213721224043,False,True,False,False,False,False,False,False,False,False,13.427075436567119,17.023648024874024,9.171342404637395
1550.8519912841161,1537.6097156695118,1479.0987913873412,1725.4191317927355,1422.6391049730873,1584.1480663987904,1592.040638202092,438.99991783520693,426.79036747724945,578.1145057836932,540.8069664231759,2538.5548621262487,3486.0968298003277,731.5548383901968,6.116482704490057,175.35484297790288,44.29903358394639,0.0,549.6744608043205,1.6046611464132305,1.9443756143820523,3161.3481506269727,304.31328487249766,3552.999242680302,751670.2450316658,723068.0339401459,695474.0749698605,843492.484689213,774418.7630962358,778280.2810892789,562.0433059470978,False,True,False,False,False,False,False,False,False,False,12.307776465302082,16.071352395723014,9.098971649584872
795.4614081924341,812.5666531834,752.6762559663465,898.4314058681692,772.2195291643081,777.0445756815795,860.1336623250555,203.49999821186063,197.84021702496656,289.3499755859375,270.875,1270.3999999314549,1745.600003302097,368.5699987057597,3.0358903408050537,86.4000015258789,22.67142868041992,0.0,253.66037282871105,0.7107078826422163,0.9721878071910262,1561.1365492161858,156.99015438703918,1788.0257484803865,407992.8085842321,377921.6122434983,387734.3640832734,451105.8276442729,390157.03830011305,431876.3848787119,597.6211911674676,True,False,False,False,False,False,False,False,False,False,14.615262355201837,14.986179353526024,11.37135979934977
1564.2433306094313,1455.2202596578168,1497.8209664310066,1857.2086623727487,1547.4601157155184,1507.736670496841,1557.3820504244215,420.8898202797071,409.1839514467531,578.2246011826522,541.1334395928975,2534.0898207421906,3485.123680940035,730.6865413894773,6.117987286794206,174.9693009457481,44.68397392467502,0.0,531.4505509748765,1.6953660604324003,1.9443756143820523,3146.0208729050264,298.6290986557832,3561.5762507478494,778563.5135838051,801793.3049820309,827436.8609559194,993392.1955335389,806916.0674127574,833371.9446177436,578.8552041492891,False,True,False,False,False,False,False,False,False,False,9.75163802521311,10.862488302689211,6.138141395618496
2989.94877518357,3016.3801318801143,2869.905691264645,3490.6149906826267,3106.1628183639314,2781.6196514649323,2869.399348260451,698.0266882097388,678.6130353714377,1158.2756170361795,1083.3357929255153,5177.336136809576,7164.377538130759,1488.9151406320877,12.571190648218458,345.8842190181582,87.21428850548286,0.0,969.2198382833855,2.685000012892288,3.8887512287641046,6071.931820096839,397.1419444238907,7207.157596949579,1550427.3454573913,1475180.9514319836,1596850.141554376,1794641.6283696494,1429566.0164627843,1474493.893708724,577.5807943082461,False,False,False,True,False,False,False,False,False,False,12.799953996075793,14.058628762590333,10.229834872008237
1491.9786026949282,1391.763144067132,1469.8062834434431,1733.3193434461487,1452.9804571073219,1501.481050796991,1437.3021230953634,462.599999845028,449.73407945590674,578.2000122070312,541.2333374023438,2529.999998778105,3464.6000020504,732.939998280257,6.004931449890137,172.39999389648438,44.599998474121094,0.0,518.4826897074711,1.5099653238878021,1.9443756143820523,3062.0747267640445,265.7544566918548,3568.9656439345054,729930.8992501573,770407.5547384643,761995.0472973809,908882.5743607546,787496.8331235037,753717.3846900709,521.118169621589,False,True,False,False,False,False,False,False,False,False,7.91944449900725,7.915874965888394,4.108469978648111
