WUR_Report_ID,fid,year,method,area_m2,annual_precip_eff_mm,annual_net_et_mm,pumping_mm,pumping_net_et_factor_annual
37683,1551_1552,2018,ECF,482002.25404434174,130.84961583079524,614.0448110004055,1072.252496048399,1.7
37976,1087,2018,FMT,253510.1103784973,228.4223977476661,329.790176318197,903.3481799131606,2.7
47099,533_1102,2018,FMT,498272.54217158444,138.70255677268457,728.3232178983827,613.9271465106332,0.8
49257,1075_1431,2018,OTH,1040978.2738069422,189.86268574522447,600.9181980161873,760.7211215888096,1.3
60733,1422,2018,FMT,475512.896158595,189.4521823156801,637.7595603653177,831.3766949196429,1.3
61755,1539_1549_1550,2018,FMT,1238995.5577194756,133.0091746402788,672.0330850325381,681.1840568286273,1.0
62470,999,2018,FMT,486539.6996350296,193.0841677949458,487.074380412956,601.0981389995164,1.2
62560,1254,2018,VLM,535213.185549038,187.4889468534856,629.7201781483107,624.3532032141667,1.0
62841,1446_1448,2018,VLM,634264.4200204385,191.0622018099851,519.3253180131101,1153.3480764637993,2.2
63073,1101,2018,FMT,527843.5443312153,138.41313511428535,688.5438886405783,807.8417185915803,1.2
63211,1310,2018,FMT,496627.540133544,183.92472255268086,640.2354545430112,644.4240299560129,1.0
63219,1312_1313,2018,FMT,303341.5811177322,187.58710988746347,464.72920314784756,483.7278828023569,1.0
63735,1360,2018,ECF,487480.6178936727,208.69188620592934,414.20723848839606,1683.6722566455355,4.1
63743,1210_1211,2018,FMT,623286.885820329,143.4560127855674,678.4136094099889,661.5771539253375,1.0
63755,1556_1558,2018,VLM,659361.8917279228,208.6918847432052,367.3070314845246,498.5088682310941,1.4
63819,1483,2018,FMT,406944.8801565224,190.42872113267578,524.7886534528474,731.7618579829851,1.4
65207,1451,2018,FMT,514489.87225052726,188.2600300424899,582.7267999331426,826.1721579487602,1.4
65302,1605_1606,2018,FMT,293032.0695670853,193.37865230392583,564.83420375421,908.1291873382406,1.6
65399,1508_1509,2018,FMT,1293758.6017626114,227.78909373807235,491.55497009415757,821.351590437564,1.7
65456,1460,2018,FMT,533087.5597067176,193.08416779494584,453.32700042486454,688.3677799607369,1.5
65648,1557,2018,VLM,525051.6805308663,208.6918847432052,439.7118248626859,102.99131534123535,0.2
65733,1335,2018,ECF,506448.7431986319,187.8815946889883,622.7702190122925,909.6770130976693,1.5
66119,1692,2018,FMT,476131.8182009672,160.5926277675036,615.2075346146754,917.2115311471804,1.5
66236,1439,2018,VLM,306897.0254731336,193.08416779494584,490.6640708186512,1733.5606064600797,3.5
66263,1452,2018,PWR,512318.832772656,187.4889468534856,671.2053072741242,1333.3276965500972,2.0
67431,1329,2018,FMT,394752.3713623936,192.3970360940616,659.4352303469533,939.595206787236,1.4
10823,15,2019,VLM,241159.8164319988,336.02220230961296,482.23606650770535,324.94212990950945,0.7
37683,1551_1552,2019,ECF,482002.25404434174,266.8986490636591,471.1474183638654,775.3997763786753,1.6
37976,1087,2019,FMT,253510.1103784973,390.75241718204234,35.770840506699116,0.0,0.0
47099,533_1102,2019,FMT,498272.54217158444,262.9893463672291,504.4260290414586,336.91727677458545,0.7
49257,1075_1431,2019,OTH,1040978.2738069422,293.33511225122544,529.5994025148054,740.2219387173355,1.4
60733,1422,2019,FMT,475512.896158595,293.3752798973346,549.3567655498746,754.6980830574753,1.4
61755,1539_1549_1550,2019,FMT,1238995.5577194756,270.6302552851103,545.1937788035531,428.4840156950751,0.8
62470,999,2019,FMT,486539.6996350296,293.01989113101047,559.5685817281853,884.5345453265763,1.6
62560,1254,2019,VLM,535213.185549038,292.13141105976234,562.6776689205052,577.637912419618,1.0
62841,1446_1448,2019,VLM,634264.4200204385,292.49700019902616,438.04499464722926,1323.5129108660224,3.0
63073,1101,2019,FMT,527843.5443312153,271.82422998859914,542.6771257060433,692.7061632690255,1.3
63211,1310,2019,FMT,496627.540133544,295.78454271476795,530.924831338248,550.0429571959402,1.0
63219,1312_1313,2019,FMT,303341.5811177322,296.5737998712923,427.2638724986472,1431.0960917405976,3.3
63735,1360,2019,ECF,487480.6178936727,333.356769933562,295.64776402389043,1214.551672963416,4.1
63743,1210_1211,2019,FMT,623286.885820329,278.2620614334299,544.0102775675705,605.4727198428268,1.1
63755,1556_1558,2019,VLM,659361.8917279228,372.7163245977702,121.49885321615587,489.15527943960706,4.0
63819,1483,2019,FMT,406944.8801565224,306.7055333277373,454.8537477847604,564.3859579008856,1.2
65207,1451,2019,PWR,514489.87225052726,292.17954356393653,519.8246172269625,793.7102571402105,1.5
65302,1605_1606,2019,FMT,293032.0695670853,345.6177591334789,438.178113694139,786.8572772278546,1.8
65399,1508_1509,2019,FMT,1293758.6017626114,396.7371900464865,297.2918058914387,566.2577048004996,1.9
65456,1460,2019,FMT,533087.5597067176,293.0198911310105,293.6278656179571,688.5991640884549,2.3
65648,1557,2019,VLM,525051.6805308663,372.71632459777015,312.98581529706246,79.94512913006932,0.3
65733,1335,2019,ECF,506448.7431986319,289.99906599035256,431.9210283483187,836.1234768311375,1.9
66119,1692,2019,FMT,476131.8182009672,300.2165582921526,489.68323792358973,917.2115311471804,1.9
66236,1439,2019,VLM,306897.0254731336,293.01989113101047,401.23103547510715,1989.302193655329,5.0
66263,1452,2019,FMT,512318.832772656,292.13141105976234,396.82337166208214,467.5398714188834,1.2
67431,1329,2019,FMT,394752.3713623936,307.59092007476494,528.140558954503,744.6143590867921,1.4
10823,15,2020,VLM,241159.8164319988,187.3043984479307,583.0192583657022,401.81731033670803,0.7
37683,1551_1552,2020,ECF,482002.25404434174,177.09310041588552,594.0791115842105,795.872377735208,1.3
37976,1087,2020,FMT,253510.1103784973,223.48157169244843,20.178682650733403,0.0,0.0
47099,533_1102,2020,FMT,498272.54217158444,173.59208355772878,604.3818225502365,777.484269776591,1.3
49257,1075_1431,2020,OTH,1040978.2738069422,202.6183635317236,509.5452979051565,823.9960560013368,1.6
60733,1422,2020,FMT,475512.896158595,202.47547158689204,645.0123058681066,805.7998643052662,1.2
61755,1539_1549_1550,2020,FMT,1238995.5577194756,176.41234646405823,613.5378298134095,678.1177678687276,1.1
62470,999,2020,FMT,486539.6996350296,203.73972769629688,587.9607256596421,718.4783323174312,1.2
62560,1254,2020,NR,535213.185549038,205.781988102634,642.1097542784305,0.0,0.0
