FID,area_m2,annual_et_mm,annual_precip_mm,annual_precip_eff_mm,YEAR,eff_factor
,498886.8414981847,928.9755202224248,182.0999990105629,177.03539872756718,2018,0.9721878071910262
,510719.0119633483,809.0378318713214,180.90000015497208,175.8687744715186,2018,0.9721878071910262
,507704.22877437953,658.4707295074531,202.79999968409535,197.1596869912215,2018,0.9721878071910262
,488843.7500595533,729.6176390698186,214.33206947014125,208.3710246288904,2018,0.9721878071910262
,521585.149617041,562.449107801669,201.5103252057297,195.90588118810743,2018,0.9721878071910262
,512987.0208427857,720.8432916261571,214.55299684701103,208.5858075309576,2018,0.9721878071910262
,472876.8977061365,846.6747608156055,215.02284404243176,209.04258724558923,2018,0.9721878071910262
,533815.2813888217,846.5913017454334,182.0999990105629,177.03539872756718,2018,0.9721878071910262
,535505.0897450355,853.7907980707427,202.79999968409535,197.1596869912215,2018,0.9721878071910262
,509698.5469838583,826.9334071008309,182.40597728270347,177.33286707300618,2018,0.9721878071910262
,514504.6294202004,735.917558796257,183.70000115036964,178.59090129936683,2018,0.9721878071910262
,70982.7508509342,403.3242551566079,176.60000121593475,171.68836793205216,2018,0.9721878071910262
,472519.2907714697,766.0168242085168,176.60000121593475,171.68836793205216,2018,0.9721878071910262
,496483.11136664986,791.4975768160234,202.79999968409535,197.1596869912215,2018,0.9721878071910262
,520068.0370533636,773.1461075660889,203.22422850926975,197.5721170825132,2018,0.9721878071910262
,498503.186079373,782.5069903983396,276.1000006198883,268.42105416809017,2018,0.9721878071910262
,489602.12264812685,826.720340953119,182.0999990105629,177.03539872756718,2018,0.9721878071910262
,482164.4518052898,790.6485348356047,183.70000115036964,178.59090129936683,2018,0.9721878071910262
,481200.65345006005,869.9775467658325,183.70000115036964,178.59090129936683,2018,0.9721878071910262
,505357.92486376985,790.8925985130502,174.50000044703484,169.6467727894359,2018,0.9721878071910262
,528371.8245987284,713.786010469055,174.50000044703484,169.6467727894359,2018,0.9721878071910262
,13635.667742775631,493.47678820482207,176.60000121593475,171.68836793205216,2018,0.9721878071910262
,496876.817754501,881.4501400697885,212.71309342169965,206.79707585446272,2018,0.9721878071910262
,506553.4339038087,822.3946208042008,235.0829779484036,228.54480483959304,2018,0.9721878071910262
,31720.78069866076,410.8433207417582,182.04003165823477,176.97709919880438,2018,0.9721878071910262
,488770.1321499517,932.8591961509256,175.51182630099763,170.63045754765574,2018,0.9721878071910262
,496100.9481887695,574.1982962586537,180.90000015497208,175.8687744715186,2018,0.9721878071910262
,502448.0874323714,228.569637800372,180.90000015497208,175.8687744715186,2018,0.9721878071910262
