dri_field_,area_m2,annual_et_mm,annual_precip_mm,annual_precip_eff_mm,YEAR,eff_factor
59,493430.20885531045,872.2851079018174,218.59999945759773,209.6137210346685,2021,0.9588916814033556
60,508144.73208381154,902.7248328231811,218.45529200677933,209.4749622638429,2021,0.9588916814033556
61,469152.9436496081,658.7256894636993,232.1999997794628,222.65464821038788,2021,0.9588916814033556
62,547525.8681067879,883.6757452453793,215.49272023227655,206.6341768337068,2021,0.9588916814033556
63,509060.77213817,923.2295281858504,215.46453213594492,206.6071475026201,2021,0.9588916814033556
64,513655.5405383741,864.4186176642926,215.0,206.16171150172144,2021,0.9588916814033556
65,493740.8459204649,932.1068550600532,215.0,206.16171150172144,2021,0.9588916814033556
66,499212.9691925017,843.9179391075271,233.1000012755394,223.5176521582263,2021,0.9588916814033556
67,454006.0245022336,694.0954971543357,232.1999997794628,222.65464821038788,2021,0.9588916814033556
68,488679.4479876996,933.5535792478448,245.8000005185604,235.69557578618807,2021,0.9588916814033556
69,525225.6952176921,836.971232487938,245.8000005185604,235.69557578618807,2021,0.9588916814033556
70,514665.1589520098,963.9456267139687,228.1212288374804,218.74354868376943,2021,0.9588916814033556
71,512261.1715278543,874.8016784592439,229.2999985218048,219.87386112836035,2021,0.9588916814033556
72,500542.8945822364,876.8414128662062,227.19999888539317,217.86018894605516,2021,0.9588916814033556
73,509278.0844294753,925.0207016535784,227.00000056624413,217.66841222152848,2021,0.9588916814033556
74,521518.9030959535,906.134189037566,241.3307608307896,231.4100590273893,2021,0.9588916814033556
75,514325.6482997871,436.243559015798,245.05591465056588,234.9820780371208,2021,0.9588916814033556
76,503186.8506073771,759.7449055425113,215.0,206.16171150172144,2021,0.9588916814033556
77,489959.3503281405,691.4890270342021,227.00000056624413,217.66841222152848,2021,0.9588916814033556
78,507471.1176464944,989.50855602125,227.00000056624413,217.66841222152848,2021,0.9588916814033556
79,522538.4751924505,827.9930294071888,227.00000056624413,217.66841222152848,2021,0.9588916814033556
80,510432.9485534853,854.0204698396507,218.8318011973984,209.8359937946952,2021,0.9588916814033556
81,515914.5826241229,842.7900611130668,233.1000012755394,223.5176521582263,2021,0.9588916814033556
82,495809.2841949468,553.4305624716135,230.41354058518127,220.9416273498267,2021,0.9588916814033556
83,490902.0137563579,857.5268981220505,232.1999997794628,222.65464821038788,2021,0.9588916814033556
84,504859.052077382,773.5722051727003,255.90000036358836,245.38038161976053,2021,0.9588916814033556
85,520976.38019951305,737.1879860051286,255.90000036358836,245.38038161976053,2021,0.9588916814033556
86,520783.8802223524,748.7028269065007,255.90000036358836,245.38038161976053,2021,0.9588916814033556
87,523467.6309245799,748.7225454432721,255.90000036358836,245.38038161976053,2021,0.9588916814033556
88,489712.3760888719,906.8322467721656,233.1000012755394,223.5176521582263,2021,0.9588916814033556
89,533231.2393492024,807.1316715512777,255.9839820362761,245.46091094709175,2021,0.9588916814033556
90,505316.6665261585,854.4264787886583,228.2351161414664,218.8527542721797,2021,0.9588916814033556
91,487622.7698547324,848.8664286627852,233.1000012755394,223.5176521582263,2021,0.9588916814033556
92,488728.4446059828,766.1059717770281,258.49999940395355,247.87349907122345,2021,0.9588916814033556
93,492895.1501213876,937.1825255424684,215.0,206.16171150172144,2021,0.9588916814033556
94,496898.3941263596,842.8436034920172,234.89999970793724,225.2436556815917,2021,0.9588916814033556
95,335079.813122055,598.3442390445954,234.89999970793724,225.2436556815917,2021,0.9588916814033556
96,537937.4505565749,884.0731445828613,259.3999996781349,248.73650184739668,2021,0.9588916814033556
97,510475.8493402823,958.1958551256612,259.3999996781349,248.73650184739668,2021,0.9588916814033556
98,460087.4855072536,835.516672440418,264.0999993085861,253.2432923956352,2021,0.9588916814033556
99,510458.2301232552,885.6325611735135,259.3999996781349,248.73650184739668,2021,0.9588916814033556
100,420573.24905336817,842.3654658080814,227.20737614205245,217.86726293609743,2021,0.9588916814033556
101,355090.1905513186,735.534350153898,233.1000012755394,223.5176521582263,2021,0.9588916814033556
102,498590.8829796372,939.8592345276868,259.3999996781349,248.73650184739668,2021,0.9588916814033556
103,496397.6681683544,895.9516847553124,227.19999888539317,217.86018894605516,2021,0.9588916814033556
104,477775.98469349823,753.5770621937295,228.700052893884,219.2985782564547,2021,0.9588916814033556
105,490861.6530946161,603.2799946912053,236.10000041127205,226.3943263736976,2021,0.9588916814033556
106,391613.3419558576,867.5569373678558,236.10000041127205,226.3943263736976,2021,0.9588916814033556
107,374801.6976723907,771.693126674875,236.10000041127205,226.3943263736976,2021,0.9588916814033556
108,535770.3309879628,810.0801520141877,236.10000041127205,226.3943263736976,2021,0.9588916814033556
109,492141.0969052324,726.3387818439029,262.2000004947185,251.42139933834133,2021,0.9588916814033556
110,1035833.6024911848,780.0571756559578,248.40000024437904,238.18869389492656,2021,0.9588916814033556
111,310545.8540283042,705.4282038085436,247.0794407039533,236.9224203368148,2021,0.9588916814033556
112,317162.13632393384,839.1633998650575,248.40000024437904,238.18869389492656,2021,0.9588916814033556
113,670959.1792654588,878.544255031875,227.19999888539317,217.86018894605516,2021,0.9588916814033556
114,445619.7197179328,814.540501569687,215.0,206.16171150172144,2021,0.9588916814033556
115,483401.23048509925,595.5710470742039,234.89999970793724,225.2436556815917,2021,0.9588916814033556
117,514032.6584188137,821.0776047828293,236.10000041127205,226.3943263736976,2021,0.9588916814033556
118,472559.51401229046,921.9104013875408,235.6347221672659,225.9481749359836,2021,0.9588916814033556
119,513628.7439676051,851.4618701542722,215.0,206.16171150172144,2021,0.9588916814033556
120,499808.709905754,926.1289034526158,233.1000012755394,223.5176521582263,2021,0.9588916814033556
122,493440.5759950485,685.0483011563905,232.70000192523003,223.1340961086479,2021,0.9588916814033556
